,Unnamed: 0,page,country,rev_id,quality,population,region
0,0,Template:ZambiaProvincialMinisters,Zambia,235107991,RevisionNotFound: Could not find revision ({revision}:235107991),18.384,AFRICA
1,12966,Gladys Lundwe,Zambia,757566606,Stub,18.384,AFRICA
2,14639,Mwamba Luchembe,Zambia,764848643,Stub,18.384,AFRICA
3,15474,Thandiwe Banda,Zambia,768166426,Start,18.384,AFRICA
4,17651,Sylvester Chisembele,Zambia,776082926,C,18.384,AFRICA
5,17785,Victoria Kalima,Zambia,776530837,Start,18.384,AFRICA
6,19113,Margaret Mwanakatwe,Zambia,779747587,Start,18.384,AFRICA
7,19114,Nkandu Luo,Zambia,779747961,Start,18.384,AFRICA
8,19115,Susan Nakazwe,Zambia,779748181,Start,18.384,AFRICA
9,19116,Catherine Namugala,Zambia,779748285,Start,18.384,AFRICA
10,19117,Edith Nawakwi,Zambia,779748522,Start,18.384,AFRICA
11,19118,Joyce Nonde-Simukoko,Zambia,779748628,Start,18.384,AFRICA
12,19119,Gladys Nyirongo,Zambia,779748837,C,18.384,AFRICA
13,19120,Vera Tembo,Zambia,779748931,Start,18.384,AFRICA
14,28632,Ompie Nkumbula-Lieventhal,Zambia,790011468,Stub,18.384,AFRICA
15,29629,Besnat Jere,Zambia,791225634,Stub,18.384,AFRICA
16,30365,Esther Lungu,Zambia,792296625,C,18.384,AFRICA
17,31473,Inonge Wina,Zambia,794006130,Start,18.384,AFRICA
18,32849,Maureen Mwanawasa,Zambia,795820299,Start,18.384,AFRICA
19,33375,First Lady of Zambia,Zambia,796467991,Start,18.384,AFRICA
20,34287,Jean Kapata,Zambia,797469872,Start,18.384,AFRICA
21,36418,Peter Sinkamba,Zambia,799512628,Stub,18.384,AFRICA
22,40902,Gwendoline Konie,Zambia,803304465,Start,18.384,AFRICA
23,44303,Kenneth Kaunda,Zambia,805875783,C,18.384,AFRICA
24,44473,Inonge Mbikusita-Lewanika,Zambia,805993958,Start,18.384,AFRICA
25,45049,Yobert K. Shamapande,Zambia,806345311,C,18.384,AFRICA
26,1,Bir I of Kanem,Chad,355319463,Stub,16.877,AFRICA
27,122,Abdullah II of Kanem,Chad,498683267,Stub,16.877,AFRICA
28,260,Salmama II of Kanem,Chad,565745353,Stub,16.877,AFRICA
29,261,Kuri I of Kanem,Chad,565745365,Stub,16.877,AFRICA
30,262,Mohammed I of Kanem,Chad,565745375,Stub,16.877,AFRICA
31,503,Kuri II of Kanem,Chad,669719757,Stub,16.877,AFRICA
32,519,Bir II of Kanem,Chad,670893206,Stub,16.877,AFRICA
33,728,Mahamat Hissene,Chad,693055898,Stub,16.877,AFRICA
34,1310,Othman I,Chad,705432607,Stub,16.877,AFRICA
35,1680,Alphonse Kotiga,Chad,707593108,Stub,16.877,AFRICA
36,1780,Oueddei Kichidemi,Chad,708346649,Start,16.877,AFRICA
37,2212,Dunama I,Chad,710675092,Stub,16.877,AFRICA
38,2341,Ahmad (Kanem-Bornu king),Chad,711388267,Stub,16.877,AFRICA
39,2636,Djibrine Kerallah,Chad,712971263,Stub,16.877,AFRICA
40,2637,Maurice Ngangtar,Chad,712971315,Stub,16.877,AFRICA
41,2638,Idriss Miskine,Chad,712971738,Stub,16.877,AFRICA
42,3673,Laoukein Kourayo Médard,Chad,716886170,Stub,16.877,AFRICA
43,3674,Nadji Madou,Chad,716886788,Stub,16.877,AFRICA
44,3675,Noël Milarew Odingar,Chad,716891799,Start,16.877,AFRICA
45,3950,Yaya Dillo Djérou,Chad,717733209,Stub,16.877,AFRICA
46,4477,Acheikh Ibn-Oumar,Chad,719821590,Start,16.877,AFRICA
47,4559,Quatre Sou Quatre,Chad,720066754,Stub,16.877,AFRICA
48,5277,Ali Gazi,Chad,722563340,Stub,16.877,AFRICA
49,5991,Mahamat Djarma Khatir,Chad,725132042,Stub,16.877,AFRICA
50,7049,Dunama IX Lefiami,Chad,731749611,Stub,16.877,AFRICA
51,7660,Dawud of Kanem,Chad,736550266,Stub,16.877,AFRICA
52,8239,Ahmed Koulamallah,Chad,738855197,Start,16.877,AFRICA
53,8594,Abbo Nassour,Chad,741369486,C,16.877,AFRICA
54,8724,Abdel Kader Baba-Laddé,Chad,742213176,Stub,16.877,AFRICA
55,9621,Hummay,Chad,747271475,Stub,16.877,AFRICA
56,10589,Ngarlejy Yorongar,Chad,751304544,C,16.877,AFRICA
57,10601,Saleh Kezabo,Chad,751380073,Stub,16.877,AFRICA
58,11860,Bourkou Louise Kabo,Chad,757072468,Start,16.877,AFRICA
59,13255,Brahim Koulamallah,Chad,757802238,Stub,16.877,AFRICA
60,13266,Saadie Goukouni Weddeye,Chad,757842614,Start,16.877,AFRICA
61,14155,Mahamoud Adam Béchir,Chad,762579466,Start,16.877,AFRICA
62,14194,Kalthouma Nguembang,Chad,762816132,RevisionNotFound: Could not find revision ({revision}:762816132),16.877,AFRICA
63,14513,Djidingar Dono Ngardoum,Chad,764133533,Stub,16.877,AFRICA
64,15463,Template:ChadPMs,Chad,768123377,Stub,16.877,AFRICA
65,16063,Template:ChadPres,Chad,770535091,Stub,16.877,AFRICA
66,16281,Youssouf Saleh Abbas,Chad,771052289,C,16.877,AFRICA
67,17109,Koibla Djimasta,Chad,774223245,Start,16.877,AFRICA
68,17110,Nassour Guelendouksia Ouaido,Chad,774223248,C,16.877,AFRICA
69,18082,Joseph Brahim Seid,Chad,777478442,Stub,16.877,AFRICA
70,18122,Joseph Yodoyman,Chad,777550078,Start,16.877,AFRICA
71,20082,Antoine Bangui,Chad,782638002,Start,16.877,AFRICA
72,21500,Ibrahim IV of Bornu,Chad,785614014,Stub,16.877,AFRICA
73,21869,Hadjé Halimé,Chad,786449636,C,16.877,AFRICA
74,22527,Youssouf Togoïmi,Chad,787390241,Start,16.877,AFRICA
